num_p,num_scripts,num_a,num_events,is_react,is_vue,is_angular,html_length,score
41, 31, 69, 5, 0, 0, 0, 253652, 0
11, 32, 42, 5, 0, 0, 0, 230951, 0
28, 31, 75, 5, 0, 0, 0, 253954, 0
10, 33, 44, 6, 0, 0, 0, 230581, 0
10, 32, 41, 5, 0, 0, 0, 230755, 0
11, 32, 42, 5, 0, 0, 0, 226257, 0
0, 13, 284, 0, 0, 0, 0, 407981, 0
0, 13, 284, 0, 0, 0, 0, 408641, 0
0, 13, 284, 0, 0, 0, 0, 407833, 0
0, 13, 284, 0, 0, 0, 0, 409371, 0
0, 13, 284, 0, 0, 0, 0, 407889, 0
0, 13, 284, 0, 0, 0, 0, 408694, 0
0, 13, 284, 0, 0, 0, 0, 409160, 0
31, 13, 180, 0, 0, 0, 0, 366146, 0
2, 13, 216, 0, 0, 0, 0, 358207, 0
12, 16, 296, 1, 0, 0, 0, 401815, 0
12, 16, 305, 1, 0, 0, 0, 410468, 0
11, 16, 304, 1, 0, 0, 0, 409912, 0
12, 16, 305, 1, 0, 0, 0, 410191, 0
17, 16, 300, 1, 0, 0, 0, 407645, 0
12, 16, 296, 1, 0, 0, 0, 403648, 0
12, 16, 305, 1, 0, 0, 0, 410345, 0
13, 16, 299, 1, 0, 0, 0, 405342, 0
6, 16, 301, 1, 0, 0, 0, 404825, 0
14, 16, 294, 1, 0, 0, 0, 402578, 0
11, 16, 305, 1, 0, 0, 0, 410530, 0
14, 16, 303, 1, 0, 0, 0, 409876, 0
147, 16, 281, 0, 0, 0, 0, 414865, 0
9, 16, 300, 1, 0, 0, 0, 403373, 0
0, 13, 284, 0, 0, 0, 0, 408162, 0
0, 13, 284, 0, 0, 0, 0, 408146, 0
0, 12, 294, 0, 0, 0, 0, 385231, 0
9, 16, 301, 1, 0, 0, 0, 402626, 0
13, 16, 302, 1, 0, 0, 0, 404895, 0
13, 16, 294, 0, 0, 0, 0, 402243, 0
10, 16, 294, 1, 0, 0, 0, 399875, 0
17, 16, 300, 1, 0, 0, 0, 405631, 0
14, 16, 300, 1, 0, 0, 0, 405451, 0
15, 16, 301, 1, 0, 0, 0, 405291, 0
21, 16, 301, 1, 0, 0, 0, 407186, 0
7, 16, 300, 1, 0, 0, 0, 403967, 0
14, 16, 301, 1, 0, 0, 0, 404796, 0
52, 16, 303, 1, 0, 0, 0, 422932, 0
10, 16, 290, 0, 0, 0, 0, 398382, 0
8, 16, 300, 1, 0, 0, 0, 403873, 0
0, 12, 294, 0, 0, 0, 0, 385260, 0
15, 16, 302, 1, 0, 0, 0, 405306, 0
15, 16, 302, 1, 0, 0, 0, 405591, 0
18, 16, 302, 1, 0, 0, 0, 405840, 0
10, 16, 294, 0, 0, 0, 0, 401392, 0
16, 16, 299, 1, 0, 0, 0, 402884, 0
15, 16, 302, 1, 0, 0, 0, 405190, 0
34, 16, 299, 1, 0, 0, 0, 411570, 0
0, 12, 294, 0, 0, 0, 0, 384552, 0
